entity,schema_csv,api,method,endpoint,http_status_observed,response_shape,rows_sampled,field_count,capture,used_by,notes
Company,legacy-company-by-alphabet.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Company/GetCompanyByAlphabet,503,array,0,14,spec-derived (endpoint 503 at capture time),not used,Schema from data/swagger.json CompanyModel; response NOT live-verified
Event,legacy-event.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Event/GetAllEvent,503,array,0,7,spec-derived (endpoint 503 at capture time),not used,Schema from data/swagger.json EventsModel; response NOT live-verified
Article,legacy-news-by-language.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/News/GetNewsByLanguage,503,array,0,15,spec-derived (endpoint 503 at capture time),not used,Schema from data/swagger.json ArticleCustomModel; response NOT live-verified
Article,legacy-search-news.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/News/SearchNews,503,array,0,5,spec-derived (endpoint 503 at capture time),not used,Schema from data/swagger.json SearchNews; response NOT live-verified
Article,legacy-featured-news.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Photo/GetFeaturedNews,503,array,0,5,spec-derived (endpoint 503 at capture time),not used,Schema from data/swagger.json PhotoNews; response NOT live-verified
Article,legacy-photo-news.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Photo/GetPhotoNews,503,array,0,5,spec-derived (endpoint 503 at capture time),not used,Schema from data/swagger.json PhotoNews; response NOT live-verified
Article,legacy-news-by-sector.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Sector/GetNewsBySector,503,array,0,5,spec-derived (endpoint 503 at capture time),not used,Schema from data/swagger.json SectorNews; response NOT live-verified
Article,legacy-news-by-industry.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Sector/GetNewsbyIndustry,503,array,0,5,spec-derived (endpoint 503 at capture time),not used,Schema from data/swagger.json SectorNews; response NOT live-verified
Sector,legacy-sectors.csv,legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Sector/GetSectors,503,array,0,3,spec-derived (endpoint 503 at capture time),not used - taxonomy is hardcoded in lib/sectors.ts,Schema from data/swagger.json SectorNameModel; response NOT live-verified
Article.photo[],legacy-articleimagecustommodel.csv,legacy,-,"(nested type, no endpoint of its own)",-,object,0,3,spec-derived,-,from swagger.json ArticleImageCustomModel
Article.location,legacy-locationmodelcustom.csv,legacy,-,"(nested type, no endpoint of its own)",-,object,0,2,spec-derived,-,from swagger.json LocationModelCustom
Article.stock[],legacy-tickercustommodel.csv,legacy,-,"(nested type, no endpoint of its own)",-,object,0,8,spec-derived,-,from swagger.json TickerCustomModel
Sector.industry[],legacy-industrymodel.csv,legacy,-,"(nested type, no endpoint of its own)",-,object,0,2,spec-derived,-,from swagger.json IndustryModel
Error,legacy-problemdetails.csv,legacy,-,"(nested type, no endpoint of its own)",-,object,0,5,spec-derived,-,from swagger.json ProblemDetails
Article,(no schema - endpoint fails),new,GET,https://development.acnnewswire.com/api/Articles/by-company/{id},500,-,0,0,broken,services/company-articles.ts / services/release-versions.ts,"500 InvalidOperationException: ""The required column 'Sectors' was not present in the results of a 'FromSql' operation."" Company archive therefore depends on the legacy feed, which is itself 503."
Article,(no schema - endpoint fails),new,GET,https://development.acnnewswire.com/api/Articles/{id}/versions,404,-,0,0,broken,services/company-articles.ts / services/release-versions.ts,Endpoint does not exist. services/release-versions.ts documents it as the shape it wants; language/version siblings are inferred client-side today.
Article,(no schema - endpoint fails),new,GET,https://development.acnnewswire.com/api/Articles?releaseGroupId={id},-,-,0,0,broken,services/company-articles.ts / services/release-versions.ts,Never implemented. Named in services/release-versions.ts as the fix for version grouping.
VStat,(not modelled),legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Vstat/GetBalance/GetBalance,503,-,0,0,spec-only,not used,Present in swagger.json with no response schema defined; unused by the frontend
VStat,(not modelled),legacy,GET,https://www.acnnewswire.com/acnnewswireapi/api/v1/Vstat/GetDomainInfo,503,-,0,0,spec-only,not used,Present in swagger.json with no response schema defined; unused by the frontend
VStat,(not modelled),legacy,POST,https://www.acnnewswire.com/acnnewswireapi/api/v1/Vstat/ReceiveCallback,503,-,0,0,spec-only,not used,Present in swagger.json with no response schema defined; unused by the frontend
